id,kode,tahun,PER,PBR,ROE,DER,DPR,Target,Label,Label_number
1,BBCA,2019,28.85,4.74,17.54,0.06,111,6,menarik,3
4,BBRI,2019,15.66,2.61,17.66,0.67,164.1,7,biasa saja,2
7,BMRI,2019,13.03,1.75,14.25,0.51,176.67,3,biasa saja,2
10,BBNI,2019,9.52,1.19,13.34,0.61,103.12,8,menarik,3
13,BRIS,2019,43.32,0.63,1.46,0.68,0,1,buruk,1
16,SMMA,2019,19.47,4.9,25.39,0.4,0,6,biasa saja,2
19,MEGA,2019,22.08,2.85,13.66,0.65,85.29,4,biasa saja,2
22,BNGA,2019,6.6,0.56,8.8,0.55,55.39,1,menarik,3
25,TOWR,2019,17.32,4.63,9.25,0.54,23.86,6,biasa saja,2
28,ARTO,2019,0,0,0,0,0,0,buruk,1
31,BNLI,2019,23.64,1.48,6.45,0.42,0,2,biasa saja,2
34,NISP,2019,6.6,0.7,11.28,0.71,0,1,biasa saja,2
37,CASA,2019,0,0,0,0,0,0,buruk,1
40,PNBN,2019,9.7,0.78,8.38,0.72,0,1,biasa saja,2
43,BDMN,2019,10.43,0.86,8.58,0.63,187.55,2,menarik,3
46,MKPI,2019,24.99,2.79,8.61,0,158.2,4,biasa saja,2
49,BTPN,2019,10.04,0.88,10.84,1.97,0,2,biasa saja,2
52,BINA,2019,0,0,0,0,0,0,buruk,1
55,CTRA,2019,16.65,1.26,3.29,0,8,2,biasa saja,2
58,SRTG,2019,1.34,0.43,31.52,0,11,1,menarik,3
61,BBHI,2019,0,0,0,0,0,0,buruk,1
64,BSDE,2019,8.54,0.82,5.24,3.93,0,3,biasa saja,2
67,PWON,2019,10.09,1.83,10.64,0,0,2,biasa saja,2
70,BNII,2019,8.52,0.6,7.23,0.95,4.84,1,biasa saja,2
73,BBTN,2019,107.29,0.94,0.88,2.25,1.91,3,buruk,1
76,BSIM,2019,0,0,0,0,0,0,buruk,1
79,BBSI,2019,0,0,0,0,0,0,buruk,1
82,MPRO,2019,0,0,0,0,0,0,buruk,1
85,BFIN,2019,11.77,1.38,3.73,0,12,2,menarik,3
88,BANK,2019,0,0,0,0,0,0,buruk,1
91,ADMF,2019,4.93,1.29,27.92,2.83,1.05,3,menarik,3
94,LIFE,2019,28.34,1.65,3.83,0.28,74,3,biasa saja,2
97,APIC,2019,0,0,0,0,0,0,buruk,1
100,BBKP,2019,0,0,0,0,0,0,buruk,1
103,INPP,2019,4.63,1.64,27.12,2.43,4.5,3,biasa saja,2
106,BJBR,2019,7.48,0.97,13.42,1.57,93.76,2,menarik,3
109,BMAS,2019,26.63,1.29,4.92,0.35,0,2,buruk,1
112,PLIN,2019,16.39,1.01,7.02,1.64,99,2,biasa saja,2
115,RISE,2019,0,0,0,0,0,0,buruk,1
118,JRPT,2019,8.11,1.16,9.37,0,24,2,menarik,3
121,BTPS,2019,23.39,6.07,29.81,0,45,8,biasa saja,2
124,SMRA,2019,28.15,1.97,2.16,1.24,0,3,buruk,1
127,BJTM,2019,7.46,1.14,15.74,0.64,48.2,2,menarik,3
130,MAYA,2019,110.74,5.04,4.57,0.22,0,7,buruk,1
133,MFIN,2019,9.14,1.51,9.03,0,30,2,biasa saja,2
136,DUTI,2019,8.39,1.06,8.35,0,300,2,menarik,3
139,DMAS,2019,10.69,2.2,17.66,3.71,42,5,biasa saja,2
142,BBMD,2019,46.25,3.29,7.54,0.08,0,4,buruk,1
145,SDRA,2019,10.93,0.79,7.41,1.41,12.31,2,biasa saja,2
148,AGRO,2019,82.76,0.94,1.15,0.28,0,2,buruk,1
151,BKSL,2019,0,0,0,0,0,0,buruk,1
154,LPKR,2019,0,0.59,3.78,5.41,0,3,buruk,1
157,KPIG,2019,0,0,0,0,0,0,buruk,1
160,NOBU,2019,0,0,0,0,0,0,buruk,1
163,GMTD,2019,0,2.35,5.94,1.63,0,3,biasa saja,2
166,MASB,2019,0,0,0,0,0,0,buruk,1
169,AMAR,2019,0,0,7.85,0.42,2.56,0,menarik,3
172,RDTX,2019,6.41,0.59,8.77,2.09,90,2,menarik,3
175,TUGU,2019,13.37,0.81,6.26,0.26,38.7,1,menarik,3
178,YULE,2019,0,0,0,0,0,0,buruk,1
181,BBYB,2019,95.59,1.85,2.07,0.09,0.2,3,buruk,1
184,NIRO,2019,0,0,0,0,0,0,buruk,1
187,MTLA,2019,9.12,1.24,8.62,0,6.3,2,menarik,3
190,ASRI,2019,4.62,0.45,4.73,1.31,0,1,buruk,1
193,APLN,2019,0,0.36,0.03,0,0,0,menarik,3
196,BACA,2019,0,0,0,0,0,0,buruk,1
199,MCOR,2019,0,0,0,0,0,0,buruk,1
202,SFAN,2019,0,0,0,0,0,0,buruk,1
205,KIJA,2019,51.18,1.13,0.99,6.12,0,4,buruk,1
208,SKRN,2019,6,1.12,8.44,2.02,12,2,biasa saja,2
211,AGRS,2019,0,0,0,0,0,0,buruk,1
214,BABP,2019,0,0,0,0,0,0,buruk,1
217,BKSW,2019,0,0,0,0,0,0,buruk,1
220,BCAP,2019,0,0,0,0,0,0,buruk,1
223,MMLP,2019,0,0,0,0,0,0,buruk,1
226,AMOR,2019,0,0,83.43,0,0,2,menarik,3
229,BNBA,2019,14.54,0.49,3.39,0,5.05,1,menarik,3
232,VICO,2019,0,0,0,0,0,0,buruk,1
235,CFIN,2019,3.2,0.25,3.12,0,0,0,menarik,3
238,PNBS,2019,0,0,0,0,0,0,buruk,1
241,TRIM,2019,0,0,0,0,0,0,buruk,1
244,DILD,2019,10.72,0.44,1.73,0,0,1,menarik,3
247,IMJS,2019,21.78,0.57,0.35,0.84,0,1,biasa saja,2
250,LPCK,2019,4.6,0.26,2.99,0,0,0,menarik,3
253,BCIC,2019,0,0,0,0,0,0,buruk,1
256,BGTG,2019,0,0,0,0,0,0,buruk,1
259,DNAR,2019,0,0,0,0,0,0,buruk,1
262,AMAG,2019,20.26,0.76,3.87,0.25,30,1,biasa saja,2
