"id","kode","tahun","PER","PBR","ROE","DER","DPR"
"3","BBCA","2021","28.64","4.44","16.23","0.06","145"
"6","BBRI","2021","17.27","2.16","12.78","0.58","174.25"
"9","BMRI","2021","11.69","1.6","14.23","0.57","180.32"
"12","BBNI","2021","11.53","1.02","9.32","0.56","73.15"
"15","BRIS","2021","24.16","2.93","19.88","0.07","17.95"
"18","SMMA","2021","78.92","3.69","4.65","0.35","0"
"21","MEGA","2021","14.72","3.08","21.46","0.7","238.48"
"24","BNGA","2021","5.87","0.55","9.71","0.28","94.07"
"27","TOWR","2021","16.37","4.66","6.82","0.34","24.1"
"30","ARTO","2021","0","0","0","0","0"
"33","BNLI","2021","39.33","1.52","3.43","0.34","8.5"
"36","NISP","2021","6.1","0.48","8.11","0.17","22"
"39","CASA","2021","0","0","0","0","0"
"42","PNBN","2021","8.99","0.41","4.6","0.39","20"
"45","BDMN","2021","14.62","0.51","3.58","0.3","56.33"
"48","MKPI","2021","75.11","4.18","4.16","0","117"
"51","BTPN","2021","7.92","0.62","8.18","1.27","0"
"54","BINA","2021","0","0","0","0","0"
"57","CTRA","2021","10.36","1.06","4.34","0","14"
"60","SRTG","2021","1.53","0.67","51.75","0","60"
"63","BBHI","2021","0","0","0","0","0"
"66","BSDE","2021","15.66","0.67","2.2","2.59","0"
"69","PWON","2021","16.16","1.39","5","0","4"
"72","BNII","2021","15.19","0.89","6.03","0.66","6.47"
"75","BBTN","2021","7.71","0.86","11.48","2.03","21.63"
"78","BSIM","2021","0","0","0","0","0"
"81","BBSI","2021","0","0","0","0","0"
"84","MPRO","2021","0","0","0","0","0"
"87","BFIN","2021","15.54","2.37","7.34","0","17"
"90","BANK","2021","0","0","0","0","0"
"93","ADMF","2021","6.35","0.86","14.38","1.24","607"
"96","LIFE","2021","175.65","1.71","0.95","0.25","34"
"99","APIC","2021","0","0","0","0","0"
"102","BBKP","2021","0","0","0","0","0"
"105","INPP","2021","0","1.4","0.16","2.46","0"
"108","BJBR","2021","6.46","1.01","16.26","1.54","99.11"
"111","BMAS","2021","95.9","5.77","6.13","0.57","0"
"114","PLIN","2021","19.35","0.8","3.76","2.58","88"
"117","RISE","2021","0","0","0","0","0"
"120","JRPT","2021","7.34","0.88","6.62","0","19.5"
"123","BTPS","2021","18.82","3.89","22.58","0.01","61.75"
"126","SMRA","2021","40.1","1.59","1.27","1.87","6"
"129","BJTM","2021","7.39","1.03","14.56","0.45","52.11"
"132","MAYA","2021","165.5","0.56","0.33","0.39","0"
"135","MFIN","2021","5.95","1.05","10.16","0","73"
"138","DUTI","2021","9.5","0.68","4.54","0","380"
"141","DMAS","2021","12.88","1.72","11.11","4.52","14.5"
"144","BBMD","2021","15.5","1.88","12.52","0.07","34.26"
"147","SDRA","2021","6.36","0.52","7.61","1.06","17.72"
"150","AGRO","2021","0","16.75","90.31","0.23","0"
"153","BKSL","2021","0","0","0","0","0"
"156","LPKR","2021","0","0.53","3.08","3.27","0"
"159","KPIG","2021","0","0","0","0","0"
"162","NOBU","2021","0","0","0","0","0"
"165","GMTD","2021","0","3.05","2.66","1.7","0"
"168","MASB","2021","0","0","0","0","0"
"171","AMAR","2021","757.6","2.92","0.39","0.79","0"
"174","RDTX","2021","9.2","0.62","6.4","3.16","465"
"177","TUGU","2021","8.96","0.35","3.99","0.24","35.6"
"180","YULE","2021","0","0","0","0","0"
"183","BBYB","2021","0","8.57","49.19","0.03","0"
"186","NIRO","2021","0","0","0","0","0"
"189","MTLA","2021","9.47","0.86","6.03","0","8.5"
"192","ASRI","2021","21.85","0.34","0.68","0.84","0"
"195","APLN","2021","0","0.35","2.17","0","0"
"198","BACA","2021","0","0","0","0","0"
"201","MCOR","2021","0","0","0","0","0"
"204","SFAN","2021","0","0","0","0","0"
"207","KIJA","2021","0","0.65","0.04","6.54","0"
"210","SKRN","2021","312.18","2.18","0.26","1.55","2"
"213","AGRS","2021","0","0","0","0","0"
"216","BABP","2021","0","0","0","0","0"
"219","BKSW","2021","0","0","0","0","0"
"222","BCAP","2021","0","0","0","0","0"
"225","MMLP","2021","0","0","0","0","0"
"228","AMOR","2021","39.04","12.46","27.31","0","47.39"
"231","BNBA","2021","178.3","4.01","2.28","0","4.25"
"234","VICO","2021","0","0","0","0","0"
"237","CFIN","2021","21.51","0.21","0.51","0","0"
"240","PNBS","2021","0","0","0","0","0"
"243","TRIM","2021","0","0","0","0","0"
"246","DILD","2021","123.09","0.31","0.08","0","0"
"249","IMJS","2021","0","1.02","0.03","0.83","0.25"
"252","LPCK","2021","17.42","0.51","1.97","0","56"
"255","BCIC","2021","0","0","0","0","0"
"258","BGTG","2021","0","0","0","0","0"
"261","DNAR","2021","0","0","0","0","0"
"264","AMAG","2021","11.21","0.9","7.73","0.24","50"
"269","SMIL","2021","0","0","0","0","0"
"272","OMRE","2021","0","0","0","0","0"
"275","INPC","2021","0","0","0","0","0"
"278","TIFA","2021","41.52","2.11","2.14","0","0"
"281","WOMF","2021","7.78","0.64","2.11","0","9.5"
"284","BEKS","2021","0","0","0","0","0"
"287","BVIC","2021","0","0","0","0","0"
"290","PANS","2021","6.01","0.64","6.04","0","150"
"293","ADCP","2021","0","0","2.45","0","1.17"
"296","POLL","2021","0","0","0","0","0"
"299","GWSA","2021","0","0","0","0","0"
"302","FMII","2021","0","0","0","0","0"
"305","LPGI","2021","22.17","0.86","3.87","0.85","333.34"
"308","BBLD","2021","21.22","0.49","0.75","0","6"
"311","BPFI","2021","55.9","2.79","5.16","0.35","0"
"314","RELI","2021","37.72","1.67","3.15","0","0"
"317","JIHD","2021","0","0","0","0","0"
"320","SMDM","2021","0","0","0","0","0"
"323","GSMF","2021","0","0","0","0","0"
"326","PPRO","2021","167.87","0.9","0.1","1.77","0"
"329","HDFA","2021","0","0","0","0","0"
"332","MDLN","2021","0","0.21","0.29","0.98","0"
"335","MREI","2021","0","1.58","18.54","0.49","0"
"338","TRIN","2021","0","0","0","0","0"
"341","VRNA","2021","0","0","0","0","0"
"344","AHAP","2021","14.11","1.78","11.75","0.55","0"
"347","ASRM","2021","7.94","0.94","12.35","1.37","13.75"
"350","INDO","2021","0","0","0","0","0"
"353","ELTY","2021","0","0","0","0","0"
"356","GOLD","2021","0","0","0","0","0"
"359","SAGE","2021","0","0","0","0","0"
"364","BKDP","2021","0","0","0","0","0"
"367","URBN","2021","0","0","0","0","0"
"370","AMAN","2021","60.66","3.3","4.04","2.92","0.5"
"373","FUJI","2021","0","0","0","0","0"
"376","BPTR","2021","0","0","0","0","0"
"379","MTWI","2021","0","0","0","0","0"
"382","EMDE","2021","0.54","0.33","33.25","0","0"
"385","TRUS","2021","0","0","0","0","0"
"388","HOMI","2021","0","0","0","0","0"
"391","ASBI","2021","6.23","0.29","4.91","0.44","5.7"
"394","TRJA","2021","14.65","2.1","7.35","0.89","4"
"397","RODA","2021","0","0","0","0","0"
"400","CITY","2021","0","0","0","0","0"
"403","PEGE","2021","0","8.31","18.64","0","0"
"406","STAR","2021","0","0","0","0","0"
"409","VAST","2021","0","0","0","0","0"
"412","VINS","2021","19.33","0.99","5.79","0.18","3.4"
"415","SATU","2021","0","0","0","0","0"
"418","ESTA","2021","0","0","0","0","0"
"421","PAMG","2021","0","0","0","0","0"
"424","PURI","2021","39.25","3.93","4.51","0","1.8"
"427","ASDM","2021","9.05","0.51","5.68","0.24","36"
"430","NICK","2021","0","0","0","0","0"
"433","CBPE","2021","0","0","15.74","0","0"
"436","ASJT","2021","361.98","0.63","0.13","0.32","0"
"439","LPPS","2021","0","0","0","0","0"
"442","KREN","2021","0","0","0","0","0"
"445","ASPI","2021","0","0","0","0","0"
"448","JGLE","2021","0","0","0","0","0"
"451","NASA","2021","0","0","0","0","0"
"454","NZIA","2021","261.84","0.7","0.2","3.6","0"
"457","ASMI","2021","0","0","0","0","0"
"460","PUDP","2021","0","0.37","3.49","9.21","0"
"463","BIPP","2021","0","0","0","0","0"
"466","KOTA","2021","0","0","0","0","0"
"469","PADI","2021","0","0","0","0","0"
"472","MINA","2021","0","0","0","0","0"
"475","TRUE","2021","0","0","0","0","0"
"479","IPAC","2021","0","0","0","0","0"
"482","AKSI","2021","0","0","0","0","0"
"485","KBAG","2021","284.14","1.16","0.34","3.94","0.11"
"488","BCIP","2021","0","0","0","0","0"
"491","CSIS","2021","0","0","0","0","0"
"494","ATAP","2021","40.96","2.89","5.74","6.24","0.65"
"497","JMAS","2021","0","0","0","0","0"
"500","TARA","2021","0","0","0","0","0"
"503","REAL","2021","0","0","0","0","0"
"506","DADA","2021","0","0","0","0","0"
"509","POLA","2021","0","0","0","0","0"
