,kode,Target
1,BBCA,0.3064498131682781
2,BBRI,0.18264209713642895
3,BMRI,0.1371124730989688
4,BBNI,0.08904893246564398
5,BRIS,0.11479076643923249
6,SMMA,0.24662809372830186
7,MEGA,0.23782160268732092
8,BNGA,0.06471169753812038
9,TOWR,0.2945736691022706
10,ARTO,0
11,BNLI,0.1803968282674326
12,NISP,0.062475502182412636
13,CASA,0
14,PNBN,0.06419992892427069
15,BDMN,0.06848816328111343
16,MKPI,0.3104698546793087
17,BTPN,0.09436557405571368
18,BINA,0
19,CTRA,0.07846471425567111
20,SRTG,0.09641247262008511
21,BBHI,0
22,BSDE,0.12610982679684243
23,PWON,0.10773203869651375
24,BNII,0.09190402788617946
25,BBTN,0.12638808954510727
26,BSIM,0
27,BBSI,0
28,MPRO,0
29,BFIN,0.08487856411595827
30,BANK,0
31,ADMF,0.20646221463921374
32,LIFE,0.12331651734516438
33,APIC,0
34,BBKP,0
35,INPP,0.18094334619469765
36,BJBR,0.15604677836585537
37,BMAS,0.11197941512280536
38,PLIN,0.13048085848478286
39,RISE,0
40,JRPT,0.08510080065094566
41,BTPS,0.31904309654541335
42,SMRA,0.1442905969082812
43,BJTM,0.11260771251236332
44,MAYA,0.49070756790707487
45,MFIN,0.07748624355027624
46,DUTI,0.05907241327097238
47,DMAS,0.24207810772313332
48,BBMD,0.11386048886176117
49,SDRA,0.09337160171526111
50,AGRO,0.5073876683645404
51,BKSL,0
52,LPKR,0.15485611633602653
53,KPIG,0
54,NOBU,0
55,GMTD,0.22407890648993126
56,MASB,0
57,AMAR,0.21509315283817174
58,RDTX,0.12804427927842482
59,TUGU,0.04452150339876998
60,YULE,0
61,BBYB,0.14055600443777608
62,NIRO,0
63,MTLA,0.06345965504623102
64,ASRI,0.054733039401823405
65,APLN,0.027907666976242716
66,BACA,0
67,MCOR,0
68,SFAN,0
69,KIJA,0.180007100938596
70,SKRN,0.159875939799185
71,AGRS,0
72,BABP,0
73,BKSW,0
74,BCAP,0
75,MMLP,0
76,AMOR,0.5278270062285751
77,BNBA,0.04568094539189542
78,VICO,0
79,CFIN,0.01821530618041174
80,PNBS,0
81,TRIM,0
82,DILD,0.03441020188572694
83,IMJS,0.07588823185872558
84,LPCK,0.12277062773872925
85,BCIC,0
86,BGTG,0
87,DNAR,0
88,AMAG,0.05949771761322404
89,BSBK,0
90,SMIL,0
91,OMRE,0
92,INPC,0
93,TIFA,0.10512129403958795
94,WOMF,0.04620659855960672
95,BEKS,0
96,BVIC,0
97,PANS,0.0604926010715551
98,ADCP,0.008040179825793761
99,POLL,0
100,GWSA,0
101,FMII,0
102,LPGI,0.09555136490487334
103,BBLD,0.038086775287876524
104,BPFI,0.1709658797563647
105,RELI,0.08496756119582533
106,JIHD,0
107,SMDM,0
108,GSMF,0
109,PPRO,0.1270631334970583
110,HDFA,0
111,MDLN,0.04415087965630616
112,MREI,0.11514835615764835
113,TRIN,0
114,VRNA,0
115,AHAP,0.14103725350734217
116,ASRM,0.12218011754868056
117,INDO,0
118,ELTY,0
119,GOLD,0
120,SAGE,0
121,SWID,0
122,BKDP,0
123,URBN,0
124,AMAN,0.20293781059413446
125,FUJI,0
126,BPTR,0
127,MTWI,0
128,EMDE,0.06958074537047959
129,TRUS,0
130,HOMI,0
131,ASBI,0.052759711906592004
132,TRJA,0.07793620520086124
133,RODA,0
134,CITY,0
135,PEGE,0.04490524398954162
136,STAR,0
137,VAST,0
138,VINS,0.05851622296535932
139,SATU,0
140,ESTA,0
141,PAMG,0
142,PURI,0.19674823332913968
143,ASDM,0.060010823294514126
144,NICK,0
145,CBPE,0.028835627985389155
146,ASJT,0.047878319811876215
147,LPPS,0
148,KREN,0
149,ASPI,0
150,JGLE,0
151,NASA,0
152,NZIA,0.13667055580006815
153,ASMI,0
154,PUDP,0.1847315160575597
155,BIPP,0
156,KOTA,0
157,PADI,0
158,MINA,0
159,TRUE,0
160,IPAC,0
161,AKSI,0
162,KBAG,0.17704597233433986
163,BCIP,0
164,CSIS,0
165,ATAP,0.23931260954902678
166,JMAS,0
167,TARA,0
168,REAL,0
169,DADA,0
170,POLA,0
171,BIKA,0
172,MGNA,0
173,MTSM,0
174,HDIT,0
175,IBFN,0
