"id","kode","PBR","PER","ROE","DER","DPR","tahun"
"1","AMAG","0.76","20.26","3.87","0","205.37","2019"
"4","APIC","4.65","81.48","5.81","0.3","0","2019"
"7","ARTO","0","0","0","0","0","2019"
"10","ASBI","0.37","13.41","2.8","0","24.81","2019"
"13","ASDM","0.63","7.52","8.47","0","53.79","2019"
"16","ASJT","0.34","58.35","0.57","0","0","2019"
"19","ASMI","21.71","1.09","1.79","0.01","0","2019"
"22","BBCA","4.74","28.85","17.54","0.06","47.9","2019"
"25","BBHI","1.74","0","12.19","0.72","0","2019"
"28","BBKP","0.29","12.07","2.48","0.93","0","2019"
"31","BBLD","0.55","11.22","4.97","3.08","0","2019"
"34","BBMD","3.29","46.25","7.54","0.08","0","2019"
"37","BBNI","1.19","9.52","13.34","0.61","25","2019"
"40","BBRI","2.61","15.66","17.66","0.67","59.86","2019"
"43","BBTN","0.94","107.28","0.88","2.25","10","2019"
"46","BBYB","1.85","95.59","2.07","0.09","8.08","2019"
"49","BCAP","1.19","124.06","0.94","0.53","0","2019"
"52","BCIC","0.42","10.11","4.63","2.57","0","2019"
"55","BDMN","0.86","10.43","8.24","0.63","49.53","2019"
"58","BEKS","5.83","0","22.13","3.14","0","2019"
"61","BFIN","1.38","11.77","11.59","1.89","25.23","2019"
"64","BGTG","0.65","62.29","1.05","0","0","2019"
"67","BINA","3.98","683.46","0.59","0.01","0","2019"
"70","BJBR","0.97","7.48","13.42","1.57","59.35","2019"
"73","BJTM","1.14","7.46","15.26","0.64","52.5","2019"
"76","BKSW","0.78","563.03","0.11","0.41","0","2019"
"79","BMAS","1.29","26.63","4.92","0.35","0","2019"
"82","BMRI","1.75","13.03","14.25","0.51","60","2019"
"85","BNBA","0.49","14.54","3.39","0","25.96","2019"
"88","BNGA","0.56","6.6","8.8","0.55","37.88","2019"
"91","BNII","0.6","8.52","7.23","0.95","20","2019"
"94","BNLI","1.48","23.64","6.45","0.42","0","2019"
"97","BPFI","2.85","31.2","9.41","1.16","0","2019"
"100","BPII","5.61","43.99","12.22","1.25","0","2019"
"103","ABDA","2.77","39.72","6.76","0","42.56","2019"
"106","ADMF","1.29","4.93","27.92","2.83","50.01","2019"
"109","AGRO","0.94","82.76","1.15","0.28","0","2019"
"112","AGRS","0.8","0","28.68","0.24","0","2019"
"115","AHAP","1.18","0","55.94","0","0","2019"
"118","BSIM","1.64","1.37","0.12","0.26","0","2019"
"121","BVIC","0.25","0","0.48","1.3","0","2019"
"124","CFIN","0.25","3.2","7.99","1.48","0","2019"
"127","DEFI","14.3","112.51","14.04","0","0","2019"
"130","DNAR","0.72","0","0.84","0.35","0","2019"
"133","DNET","4.69","83.25","5.75","0.63","0","2019"
"136","GSMF","0.52","18.9","2.82","0.35","0","2019"
"139","HDFA","1.33","0","48.33","0.84","0","2019"
"142","IBFN","1.33","0","35.27","3.8","0","2019"
"145","INPC","0.21","0","1.28","0","0","2019"
"148","LPGI","0.64","6.75","9.43","0","40.12","2019"
"151","LPPS","0.19","0","3.48","0","0","2019"
"154","MAYA","5.04","110.74","4.57","0.22","0","2019"
"157","MCOR","0.77","27.17","2.97","1.06","0","2019"
"160","MEGA","2.85","22.08","13.66","0.65","50","2019"
"163","MFIN","1.51","9.14","17.38","0.94","21.08","2019"
"166","MGNA","0","0","0","0","0","2019"
"169","MREI","1.39","12.36","11.93","0","14.44","2019"
"172","PADI","7.86","0","25.04","0.04","0","2019"
"175","PANS","0.77","7.97","9.58","0.45","56.07","2019"
"178","PEGE","1.2","18.88","6.41","0","51.48","2019"
"181","PLAS","0","0","0.23","0.1","0","2019"
"184","PNBN","0.78","9.7","8.38","0.72","0","2019"
"187","PNBS","0.71","90.5","0.79","0.39","0","2019"
"190","PNIN","0.27","3.23","8.74","0","0","2019"
"193","PNLF","0.41","4.9","8.65","0","0","2019"
"196","POOL","0.74","0","59.67","0.05","0","2019"
"199","RELI","0.83","0","0.79","0.03","0","2019"
"202","SDRA","0.79","10.93","7.21","1.41","17.12","2019"
"205","SMMA","4.9","19.47","25.17","0.33","0","2019"
"208","SRTG","0.43","1.33","38.41","0.15","2.02","2019"
"211","STAR","1.5","376.38","0.4","0.18","0","2019"
"214","TRIM","1.22","16.12","7.86","0.74","0","2019"
"217","TRUS","0.79","13.31","6.15","0.03","0","2019"
"220","VICO","0.48","20.64","2.41","1.8","0","2019"
"223","VINS","0.96","8.2","11.91","0","63.34","2019"
"226","VRNA","1.19","431.96","0.38","2.83","0","2019"
"229","CASA","3.58","372.22","0.99","0.32","0","2019"
"232","BRIS","0.63","43.32","1.46","0.68","0","2019"
"235","MTWI","0.75","134.37","0.56","0","0","2019"
"238","NICK","1.94","20.1","10.13","0","0","2019"
"241","BTPS","6.07","23.39","29.81","0","24.77","2019"
"244","TUGU","0.81","13.37","6.05","0.03","30","2019"
"247","POLA","2.6","0","14.96","0.07","0","2019"
"250","SFAN","7.91","75.76","8.82","0","0","2019"
